x,y,z,step,action
-24.3293925496543,-17.5522265870979,280.918346435833,1000,start
-24.1209375378755,-17.6145271444329,280.990955238947,0.236570985142699,proposed
-24.3293925496543,-17.5522265870979,280.918346435833,1.77635683940025e-14,nearly_boundary
-24.3293925496543,-17.5522265870979,280.918346435833,1000,start
-24.1209375378755,-17.6145271444329,280.990955238947,0.236570985142699,proposed
-24.1209284494002,-17.6145298606884,280.990958404634,0.229371918525466,no_hit
-23.9430300652784,-17.4892823526623,281.063562194597,0.236575643999191,proposed
-23.9430223088146,-17.489276892202,281.063565360137,0.229376729671527,no_hit
-23.9313722332147,-17.272017775453,281.13616730323,0.23658030206356,proposed
-23.9313717249637,-17.272008303285,281.136170468623,0.229381539991399,no_hit
-24.0948614457255,-17.1284435666514,281.208770565297,0.236584959336036,proposed
-24.0948685732787,-17.1284373073221,281.208773730544,0.22938634948532,no_hit
-24.3088121606229,-17.1680647947108,281.281371981247,0.236589615817001,proposed
-24.3088214879241,-17.1680665220204,281.281375146346,0.229391158153667,no_hit
-24.4100558608049,-17.3606704461458,281.353971551528,0.236594271506672,proposed
-24.4100602744882,-17.360678842721,281.353974716481,0.229395965996685,no_hit
-24.3213785131453,-17.5593813544331,281.426569276589,0.236598926405424,proposed
-24.3213746473687,-17.5593900169833,281.426572441395,0.229400773014698,no_hit
-24.1103973046928,-17.612664556338,281.499165156878,0.236603580513544,proposed
-24.1103881074272,-17.612666879103,281.499168321537,0.229405579208115,no_hit
-23.9379907055752,-17.4798842604837,281.571759192843,0.23660823383128,proposed
-23.937983190043,-17.4798784723375,281.571762357355,0.229410384577165,no_hit
-23.9356215672677,-17.262280258619,281.644351384932,0.236612886358999,proposed
-23.9356214639946,-17.2622707730445,281.644354549298,0.229415189122203,no_hit
-24.1051020878467,-17.1257667455811,281.716941733594,0.236617538096966,proposed
-24.1051094755162,-17.1257607949461,281.716944897813,0.229419992843511,no_hit
-24.3172199961713,-17.1744293628153,281.789530239274,0.236622189045469,proposed
-24.3172292422144,-17.1744314839783,281.789533403347,0.229424795741433,no_hit
-24.4102579818994,-17.37117403606,281.862116906564,0.236626852731053,proposed
-24.4102620372627,-17.3711826118166,281.86212007049,0.229429610118119,no_hit
-24.313283117799,-17.5660147137973,281.934701740212,0.236631529685548,proposed
-24.3132788909231,-17.5660232063833,281.934704903991,0.229434436457897,no_hit
-24.1002155764693,-17.6104187352243,282.00728474065,0.236636205824873,proposed
-24.1002062896181,-17.6104206706366,282.007287904283,0.229439261952079,no_hit
-23.933471167756,-17.4705320798279,282.079865908313,0.236640881149253,proposed
-23.9334639001171,-17.4705259827977,282.079869071799,0.229444086600876,no_hit
-23.9401535108488,-17.2529779486718,282.152445243632,0.236645555659004,proposed
-23.940153802096,-17.252968466665,282.152448406972,0.229448910404627,no_hit
-24.115175138599,-17.123577938631,282.22502274704,0.236650229354443,proposed
-24.1151827666839,-17.1235722989036,282.225025910234,0.229453733363649,no_hit
-24.3251430037322,-17.1809617958247,282.29759841897,0.236654902235845,proposed
-24.32515215471,-17.1809642967712,282.297601582017,0.229458555478275,no_hit
-24.4100315265122,-17.3814008848793,282.370172259853,0.236659574303482,proposed
-24.4100352261101,-17.3814096203833,282.370175422755,0.229463376748743,no_hit
-24.3051417678542,-17.5721428731912,282.442744270122,0.236664245557627,proposed
-24.3051371966617,-17.5721511859031,282.442747432877,0.229468197175353,no_hit
-24.0904013072887,-17.6078273182386,282.515314450208,0.236668915998657,proposed
-24.0903919488978,-17.607828873367,282.515317612817,0.22947301675852,no_hit
-23.92944747359,-17.461255883519,282.587882800542,0.236673585626814,proposed
-23.929440459368,-17.4612494960689,282.587885963005,0.229477835498462,no_hit
-23.9449298043107,-17.244110549423,282.660449321557,0.236678254442354,proposed
-23.9449304790024,-17.2441010866251,282.660452483874,0.229482653395493,no_hit
-24.1250572810794,-17.1218470347765,282.733014013683,0.236682922445642,proposed
-24.1250651305418,-17.1218417068672,282.733017175853,0.229487470449959,no_hit
-24.3325903442066,-17.1876252866314,282.80557687735,0.236687589636898,proposed
-24.3325993877396,-17.1876281530073,282.805580039375,0.229492286662111,no_hit
-24.4094109268446,-17.3913354341183,282.878137912991,0.236692256016461,proposed
-24.4094142743348,-17.3913443108763,282.878141074869,0.229497102032294,no_hit
-24.2969878635131,-17.5777831638605,282.950697121034,0.236696921584648,proposed
-24.2969829647322,-17.5777912882307,282.950700282767,0.229501916560813,no_hit
-24.080961517755,-17.6049271063377,283.023254501911,0.236701586341692,proposed
-24.0809521047083,-17.6049282890972,283.023257663498,0.229506730247983,no_hit
-23.9258951539668,-17.452083811858,283.095810056051,0.236706250287913,proposed
-23.9258883973079,-17.4520771520642,283.095813217492,0.229511543094077,no_hit
-23.9499133856211,-17.2356762145869,283.168363783885,0.236710913423592,proposed
-23.9499144321381,-17.2356667853231,283.16836694518,0.229516355099417,no_hit
-24.1347271993442,-17.120543894105,283.240915685842,0.236715575749031,proposed
-24.1347352518418,-17.1205388776902,283.240918846991,0.229521166264313,no_hit
-24.3395725345486,-17.1943846589513,283.313465762352,0.236720237264536,proposed
-24.3395814596499,-17.1943878761899,283.313468923355,0.229525976589104,no_hit
-24.4084301703817,-17.4009643492237,283.386014013843,0.236724897970377,proposed
-24.4084331704427,-17.4009733497022,283.386017174701,0.229530786074002,no_hit
-24.2888526838834,-17.5829540173308,283.458560440746,0.236729557866849,proposed
-24.2888474741164,-17.5829619462795,283.458563601458,0.229535594719409,no_hit
-24.0719009585006,-17.6017538883397,283.531105043488,0.236734216954246,proposed
-24.0718915065185,-17.6017547073977,283.531108204054,0.2295404025256,no_hit
-23.9227891052461,-17.4430415295602,283.603647822499,0.236738875232888,proposed
-23.9227826089943,-17.4430346150499,283.603650982919,0.22954520949288,no_hit
-23.9550687699399,-17.2276710307361,283.676188778207,0.236743532702988,proposed
-23.955070176216,-17.2276616480366,283.676191938482,0.229550015621488,no_hit
-24.1441661961161,-17.1196383392543,283.74872791104,0.236748189364942,proposed
-24.1441744340465,-17.1196336328666,283.748731071169,0.229554820911864,no_hit
-24.3461017307502,-17.2012067703951,283.821265221427,0.236752845219013,proposed
-24.346110527782,-17.2012103238067,283.82126838141,0.229559625364255,no_hit
-24.4071226547303,-17.4102768199662,283.893800709795,0.236757500265434,proposed
-24.4071253129636,-17.4102859276123,283.893803869633,0.229564428978938,no_hit
-24.2807651732376,-17.5876749454897,283.966334376571,0.236762154504549,proposed
-24.2807596688856,-17.587682673261,283.966337536264,0.229569231756224,no_hit
-24.0632221090577,-17.5983422865877,284.038866222185,0.236766807936644,proposed
-24.0632126327012,-17.598342751266,284.038869381732,0.229574033696424,no_hit
-23.9201037491014,-17.4341522124477,284.111396247062,0.236771460562028,proposed
-23.9200975148772,-17.4341450603413,284.111399406464,0.22957883479991,no_hit
-23.9603621293048,-17.2200891930274,284.18392445163,0.236776112380936,proposed
-23.96036388292,-17.2200798686544,284.183927610887,0.229583635066853,no_hit
-24.1533580655143,-17.1191003336546,284.256450836316,0.236780763393722,proposed
-24.1533664720503,-17.1190959347719,284.256453995428,0.229588434497715,no_hit
-24.3521915003145,-17.2080605132913,284.328975401547,0.236785413600685,proposed
-24.3522001609398,-17.2080643881466,284.328978560513,0.229593233092714,no_hit
-24.4055210480707,-17.419264382882,284.401498147748,0.236790063002014,proposed
-24.4055233709073,-17.4192735821364,284.401501306569,0.229598030852112,no_hit
-24.2727519947728,-17.591966322978,284.474019075347,0.23679471159812,proposed
-24.2727462119679,-17.5919738450745,284.474022234022,0.229602827776323,no_hit
-24.0549253809752,-17.5947256661644,284.546538184769,0.236799359389244,proposed
-24.0549158936552,-17.5947257863461,284.546541343299,0.229607623865581,no_hit
-23.9178132275771,-17.4254366509714,284.61905547644,0.236804006375731,proposed
-23.9178072558563,-17.4254292778341,284.619058634826,0.22961241912025,no_hit
-23.9657613307151,-17.2129232210531,284.691570950787,0.236808652557796,proposed
-23.9657634189815,-17.2129139655325,284.691574109027,0.229617213540586,no_hit
-24.1622889473944,-17.1189001431263,284.764084608234,0.236813297935758,proposed
-24.162297506512,-17.1188960482586,284.764087766329,0.229622007126892,no_hit
-24.3578566068585,-17.2149167993759,284.836596449207,0.236817942509924,proposed
-24.3578651239905,-17.21492098098,284.836599607157,0.229626799879502,no_hit
-24.403657169612,-17.4279207433702,284.909106474131,0.236822586280565,proposed
-24.4036591642225,-17.4279300196731,284.909109631936,0.229631591798687,no_hit
-24.2648375968212,-17.5958491850084,284.981614683431,0.236827229248005,proposed
-24.2648315513672,-17.5958564981246,284.981617841091,0.229636382884795,no_hit
-24.0470093164585,-17.5909360632369,285.054121077532,0.236831871412562,proposed
-24.046999830452,-17.5909358492798,285.054124235047,0.229641173138151,no_hit
-23.9158915804649,-17.4169133618871,285.126625656858,0.236836512774463,proposed
-23.9158858706564,-17.4169057836882,285.126628814228,0.229645962559008,no_hit
-23.9712359570721,-17.2061641658352,285.199128421833,0.236841153333995,proposed
-23.9712383671137,-17.2061549884922,285.199131579059,0.229650751147701,no_hit
-24.1709471781705,-17.1190084786826,285.271629372883,0.236845793091506,proposed
-24.1709558746696,-17.1190046834559,285.271632529964,0.229655538904495,no_hit
